iter	MultiClass
0	1.074622134
1	1.047944578
2	1.026326276
3	1.00591346
4	0.98771561
5	0.9671226973
6	0.9449251779
7	0.9255115001
8	0.9094716085
9	0.8923428995
10	0.8746939456
11	0.857642877
12	0.8415371584
13	0.8303246197
14	0.8156948574
15	0.8010963129
16	0.7900652291
17	0.7777282335
18	0.7654630462
19	0.751354428
20	0.7389862102
21	0.7269577381
22	0.7158637403
23	0.7040449877
24	0.6934358382
25	0.6842102209
26	0.6739586312
27	0.6623772269
28	0.6533069157
29	0.6445842027
30	0.6362702092
31	0.62813553
32	0.619709645
33	0.6109032534
34	0.6015552449
35	0.5940930544
36	0.5854898113
37	0.5777954399
38	0.5696574606
39	0.5609213536
40	0.5534875389
41	0.5465076498
42	0.5403393057
43	0.5336023251
44	0.527752245
45	0.5212306448
46	0.5150001318
47	0.508062056
48	0.5018966292
49	0.4963667224
50	0.4902149351
51	0.4848669203
52	0.4800388025
53	0.4755625772
54	0.4709862665
55	0.466082401
56	0.4601260831
57	0.455158312
58	0.4509272845
59	0.4462338038
60	0.4420911294
61	0.4379616663
62	0.4336212816
63	0.4284935846
64	0.4243720588
65	0.4202092624
66	0.4156795151
67	0.4123867963
68	0.4076071658
69	0.4032736982
70	0.4000134077
71	0.3961225477
72	0.3926074283
73	0.388836677
74	0.3850131475
75	0.3808630885
76	0.3773388985
77	0.373693542
78	0.3709966779
79	0.3678395307
80	0.3642494169
81	0.3610815883
82	0.3577603307
83	0.3545068382
84	0.351791505
85	0.3491428344
86	0.3469296116
87	0.3438932931
88	0.3406626653
89	0.337424174
90	0.333978948
91	0.3321334377
92	0.3290429533
93	0.3258507396
94	0.3231128295
95	0.3208693259
96	0.3179193479
97	0.315192573
98	0.3124498472
99	0.3104090389
100	0.3075832671
101	0.3052409413
102	0.3027736694
103	0.3012531029
104	0.299188778
105	0.2966497705
106	0.294212102
107	0.2919661171
108	0.2894740044
109	0.2876720007
110	0.285189941
111	0.2829594664
112	0.2807652832
113	0.2783902304
114	0.2759897834
115	0.2739230604
116	0.272255344
117	0.2705837202
118	0.2685503991
119	0.2661921775
120	0.2641892466
121	0.2625412903
122	0.2603648926
123	0.2583859177
124	0.256369806
125	0.2544046932
126	0.2528811828
127	0.2513961698
128	0.2498823164
129	0.2483589918
130	0.2469364974
131	0.2448596498
132	0.2432383839
133	0.2415576225
134	0.2403179223
135	0.2389900835
136	0.2374568366
137	0.236055293
138	0.2345120208
139	0.2332587087
140	0.2317219273
141	0.2303152982
142	0.229046142
143	0.2275663829
144	0.2265360167
145	0.2249180717
146	0.223758526
147	0.2227233312
148	0.2212601247
149	0.2200543085
150	0.2190961236
151	0.218089583
152	0.2169371433
153	0.2158068205
154	0.2147162573
155	0.2135593203
156	0.2123878148
157	0.2115393633
158	0.2103096708
159	0.2090699551
160	0.2081023022
161	0.2072309538
162	0.2061760197
163	0.2049917089
164	0.2036864242
165	0.2026731735
166	0.2016848493
167	0.2005825088
168	0.1996668718
169	0.1988884441
170	0.1981325867
171	0.197058146
172	0.1963326027
173	0.1955078183
174	0.1947604531
175	0.1939305222
176	0.1933459933
177	0.1925347528
178	0.1917804054
179	0.1908095358
180	0.1899969356
181	0.1892127956
182	0.1883668435
183	0.1874667834
184	0.1865208311
185	0.1854917768
186	0.1849316623
187	0.1843192431
188	0.1837500871
189	0.1830750734
190	0.1823044887
191	0.1816032861
192	0.1809773533
193	0.1802658713
194	0.1796402758
195	0.1788808786
196	0.1780975443
197	0.1773262661
198	0.1765843867
199	0.1758080966
