iter	Passed	Remaining
0	419	83488
1	822	81441
2	1230	80834
3	1642	80504
4	2056	80221
5	2496	80719
6	2957	81544
7	3360	80649
8	3770	80016
9	4182	79476
10	4598	79008
11	5006	78432
12	5414	77881
13	5824	77379
14	6294	77637
15	6730	77402
16	7196	77472
17	7644	77297
18	8081	76989
19	8500	76501
20	8922	76055
21	9327	75463
22	9734	74910
23	10197	74784
24	10619	74333
25	11032	73833
26	11445	73337
27	11869	72913
28	12287	72453
29	12715	72052
30	13129	71578
31	13545	71112
32	13962	70657
33	14370	70162
34	14798	69764
35	15203	69258
36	15614	68788
37	16028	68332
38	16508	68148
39	16983	67933
40	17404	67495
41	17811	67005
42	18229	66557
43	18648	66118
44	19054	65631
45	19536	65403
46	19962	64984
47	20381	64540
48	20800	64100
49	21215	63645
50	21632	63202
51	22043	62738
52	22452	62274
53	22870	61834
54	23290	61402
55	23698	60939
56	24113	60496
57	24530	60057
58	24952	59631
59	25370	59196
60	25779	58743
61	26198	58312
62	26606	57858
63	27028	57436
64	27458	57029
65	27913	56672
66	28328	56233
67	28739	55788
68	29154	55351
69	29567	54911
70	29977	54466
71	30389	54024
72	30805	53593
73	31229	53175
74	31642	52737
75	32060	52309
76	32464	51859
77	32887	51439
78	33296	50997
79	33717	50575
80	34131	50143
81	34549	49717
82	34962	49284
83	35378	48855
84	35795	48429
85	36206	47994
86	36623	47568
87	37046	47149
88	37465	46726
89	37873	46289
90	38304	45881
91	38720	45454
92	39144	45037
93	39559	44609
94	40074	44292
95	40481	43854
96	40944	43477
97	41471	43164
98	41988	42836
99	42451	42451
100	42913	42064
101	43393	41691
102	43895	41338
103	44351	40940
104	44809	40541
105	45314	40184
106	45774	39784
107	46234	39384
108	46707	38994
109	47214	38630
110	47699	38245
111	48168	37846
112	48632	37443
113	49158	37084
114	49630	36683
115	50101	36280
116	50602	35897
117	51071	35490
118	51555	35092
119	52033	34689
120	52502	34278
121	52912	33829
122	53322	33380
123	53727	32930
124	54131	32479
125	54540	32031
126	54944	31582
127	55351	31135
128	55765	30692
129	56169	30245
130	56575	29799
131	56985	29356
132	57391	28911
133	57805	28471
134	58219	28031
135	58660	27605
136	59101	27177
137	59631	26791
138	60149	26396
139	60577	25961
140	61044	25543
141	61475	25109
142	61902	24674
143	62314	24233
144	62717	23789
145	63125	23347
146	63535	22907
147	63947	22468
148	64354	22027
149	64768	21589
150	65179	21150
151	65584	20710
152	66019	20280
153	66437	19844
154	66846	19407
155	67256	18969
156	67668	18533
157	68078	18096
158	68490	17661
159	68903	17225
160	69326	16793
161	69735	16357
162	70151	15924
163	70558	15488
164	70967	15053
165	71375	14619
166	71786	14185
167	72198	13752
168	72608	13318
169	73019	12885
170	73427	12452
171	73834	12019
172	74247	11587
173	74656	11155
174	75059	10722
175	75467	10290
176	75869	9858
177	76284	9428
178	76692	8997
179	77116	8568
180	77522	8137
181	77931	7707
182	78341	7277
183	78750	6847
184	79159	6418
185	79565	5988
186	79966	5559
187	80378	5130
188	80790	4702
189	81196	4273
190	81606	3845
191	82020	3417
192	82430	2989
193	82838	2562
194	83246	2134
195	83654	1707
196	84066	1280
197	84488	853
198	84891	426
199	85300	0
