Feature_1,systolic,region,systolic
Label_1,,,
Feature_2,dp_72,systolic,ap_11
Label_2,"taghire dar diet student, kahesh shekar",,dashtan nesbate famili ba hamsar
Feature_3,University,s_113,gh_132
Label_3,,"elate edame masraf dokhaniat, paziresh ejtemayi","dar 12 mah gozashte, estefade ruzane az mobile baraye sms, game,internet"
Feature_4,Vitamin,ap_16,ap_10
Label_4,masrafe vitamin va mineral supplement,weight madar dar hemgam ezdevaj,sale ezdevaje parents
Feature_5,s_115,b_8,s_108
Label_5,"elate edame masraf dokhaniat, ehsas lezat",raveshe kaheshe vazn,"elate gerayesh b masraf dokhaniat, tafrih va sargarmi"
Feature_6,dp_53,h_35_b,ap_16
Label_6,"masrafe farzand, rice",masrafe mive khoshk,weight madar dar hemgam ezdevaj
Feature_7,hp_77_21,diastoli,n_87
Label_7,"chand saate dar hafte,swim,madar",,"dar 6 mah gozashte,cheghadr delshure dashtid"
Feature_8,diastoli,b_5,University
Label_8,,mizan rezayat az vazne feli,
Feature_9,s_116,v_46,dp_62
Label_9,"elate edame masraf dokhaniat, tafrih va sargarmi",mesvak zadan dandan,"masrafe farzand, abb mive baste bandi shode"
Feature_10,h_38,ap_11,f_123
Label_10,masrafe sabzi taze ya pokhte,dashtan nesbate famili ba hamsar,mavajehe ba nure khorshid dar ruz adi
Feature_11,hp_76_3,gh_132,dp_70
Label_11,"chand saate dar hafte,didan tv or computer, student","dar 12 mah gozashte, estefade ruzane az mobile baraye sms, game,internet","taghire dar diet student, masrafe liquid oil be jaye soli oil"
Feature_12,gh_132,hp_77_20,dp_74
Label_12,"dar 12 mah gozashte, estefade ruzane az mobile baraye sms, game,internet","chand saate dar hafte,walking,madar","taghire dar diet student, kahesh ghazaye amadeh"
Feature_13,dp_64,dp_72,s_105
Label_13,"masrafe farzand, ajil va tokhmeh","taghire dar diet student, kahesh shekar","elate gerayesh b masraf dokhaniat, ehsas etemad b nafs"
Feature_14,h_59,a_1,b_7
Label_14,"dar tule hafte, chand saate dar ruz anjame takalif",tedad dust samimi,dashtan barnameh baraye taghire vazn
Feature_15,z_56_5,gh_131,ap_8
Label_15,"dar ruz 4shanbe hafte gozashte, mizane faaliate badani k baase aragh kardan ya k","dar 12 mah gozashte, sohbat ruzane ba mobile",dashtan computer
Feature_16,ap_8,University,diastoli
Label_16,dashtan computer,,
Feature_17,dp_58,ap_5,z_54
Label_17,"masrafe farzand, nushabe rezhimi",job pedar,"dar hafte, chand saate dar class varzesh sherkat mikonid"
Feature_18,hp_91_1,h_57,v127_1_2
Label_18,"sorate ghaza khordan, pedar","dar tule hafte, chand saate dar ruz tv mibinid","dar 12 mah gozashte, dar 1 hafte chand saate vaght gozarandeh, bahar, jangal, ru"
Feature_19,s_104,bp_32_1,ap_14
Label_19,"elate gerayesh b masraf dokhaniat, ehsas dust dashte shodan","sabegheye hypertention, pedar",age madar dar hemgam ezdevaj
Feature_20,f_124,ap_8,s_103
Label_20,mavajehe ba nure khorshid dar ruz tatil,dashtan computer,"elate gerayesh b masraf dokhaniat, ehsas bozorg shodan"
