,close_friend_count,spent_time_friend1,spent_time_friend2,chatting_online,breakfast_routindays,lunch_routinday,dinner_routinday,sweet,saltysnack,soda,dry_fruit,fresh_juice,packed_juice,vegetables,milk,fastfoods,physical_activity_hour,physical_activity,TV_watching_routinday,TV_watching_friday,computer_work_routinday,computer_work_friday,sleep_hours_routinday,sleep_hours_friday,injury_number,fight_number,victim_number,bully_number,others_smoker,confusion_number,worthless_number,insomnia_number,back_pain_number,headache_number,worried_number,stomach_ache_number,angriness_number,anxiety_number,mental_health_overview,smoke_leisure,smoke_escaping_problems,smoke_pleasure,smoke_feeling_grown_up,smoke_anxiety_reduction,smoke_social_acceptance,smoke_confidence_boost,smoke_focus,smoke_staying_awake,smoke_feeling_loved,family_size,car_ownership,computer_ownership,birth_weight,breast_feeding_duration,table_salt,fatty_dairy,usual_dairy,grains,meat,liverandkalepache,potato,friedfoods,fruit_nut_substitute,reduce_fast_food,increase_vegetables,reduce_salt,reduce_sugar,reduce_fat,use_liquid_oil,fresh_fruit_nondaily,litigant_friend,comfort_friend_rahati,comfort_father_rahati,comfort_sister_nadaram,comfort_sister_rahati,comfort_brother_nadaram,comfort_brother_rahati,father_edu_diploma,father_edu_elementry education,father_edu_intermediate,mother_edu_diploma,mother_edu_elementry education,father_job_self-employed,complementary_feeding_homemade food,bread_type_whole grain bread,oil_type_liquid oil,oil_type_solid oil,dairy_type_non-pasteurized regular,dairy_type_pasteurized regular,depression_no,"diet_plan_no, but it should be reduced",diet_plan_weight is fine,"diet_plan_no, but it should be reduced.1",diet_plan_weight is fine.1
close_friend_count,1.132572963412633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spent_time_friend1,,1.0552279455821238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spent_time_friend2,,,1.3274417199702806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chatting_online,,,,1.2277010335120446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breakfast_routindays,,,,,1.1989409473201176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunch_routinday,,,,,,1.0296625513263682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinner_routinday,,,,,,,1.129441574959974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet,,,,,,,,1.0552004389079543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saltysnack,,,,,,,,,0.7739770869072139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,0.9080120206322881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry_fruit,,,,,,,,,,,1.0784752528463821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh_juice,,,,,,,,,,,,1.0355479229788114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packed_juice,,,,,,,,,,,,,0.9376503739294532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetables,,,,,,,,,,,,,,1.041328111568896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,,,,,,,,,,,,,,,1.026888030516691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fastfoods,,,,,,,,,,,,,,,,0.7768627112866218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physical_activity_hour,,,,,,,,,,,,,,,,,1.0494298394678145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physical_activity,,,,,,,,,,,,,,,,,,1.966712638125962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV_watching_routinday,,,,,,,,,,,,,,,,,,,1.406539678394804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV_watching_friday,,,,,,,,,,,,,,,,,,,,1.468863135590199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computer_work_routinday,,,,,,,,,,,,,,,,,,,,,1.1234362302467558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computer_work_friday,,,,,,,,,,,,,,,,,,,,,,1.3837019491908613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleep_hours_routinday,,,,,,,,,,,,,,,,,,,,,,,1.7704147355310502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleep_hours_friday,,,,,,,,,,,,,,,,,,,,,,,,1.911838990260595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
injury_number,,,,,,,,,,,,,,,,,,,,,,,,,0.6325022153536113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fight_number,,,,,,,,,,,,,,,,,,,,,,,,,,1.2805304353540208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victim_number,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6859243447367935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bully_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0513917638373254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
