age,sex,height
7.0,Girl,140.0
7.0,Girl,147.0
7.0,Girl,139.0
8.0,Girl,111.0
8.0,Girl,150.0
8.0,Girl,111.0
8.0,Girl,158.0
8.0,Boy,101.0
8.0,Boy,150.0
8.0,Boy,147.0
8.0,Boy,112.0
8.0,Boy,104.0
8.0,Boy,111.0
9.0,Girl,157.0
9.0,Boy,155.0
9.0,Boy,113.0
9.0,Boy,110.0
10.0,Girl,112.0
10.0,Girl,162.0
10.0,Girl,163.0
10.0,Girl,122.0
10.0,Girl,161.0
10.0,Boy,158.0
11.0,Girl,127.0
11.0,Girl,106.0
11.0,Girl,126.0
11.0,Girl,124.0
11.0,Boy,168.0
11.0,Boy,123.0
11.0,Boy,112.0
11.0,Boy,122.0
11.0,Boy,109.0
12.0,Girl,100.0
12.0,Girl,129.0
12.0,Girl,130.0
12.0,Boy,176.0
12.0,Boy,178.0
12.0,Boy,113.0
12.0,Boy,177.0
12.0,Boy,126.0
13.0,Girl,175.0
13.0,Boy,190.0
14.0,Girl,139.0
14.0,Girl,178.0
14.0,Girl,140.0
14.0,Girl,181.0
14.0,Girl,182.0
14.0,Girl,178.0
14.0,Boy,110.0
15.0,Girl,137.0
15.0,Girl,186.0
15.0,Girl,190.0
15.0,Girl,187.0
15.0,Boy,117.0
15.0,Boy,141.0
16.0,Girl,184.0
16.0,Girl,183.0
16.0,Girl,182.0
16.0,Boy,150.0
16.0,Boy,150.0
16.0,Boy,151.0
16.0,Boy,152.0
16.0,Boy,144.0
17.0,Girl,184.0
17.0,Boy,149.0
17.0,Boy,143.0
18.0,Girl,182.0
18.0,Girl,179.0
18.0,Girl,182.0
10.0,Boy,160.0
10.0,Girl,110.0
10.0,Girl,148.0
10.0,Girl,78.0
10.0,Girl,160.0
11.0,Boy,153.0
11.0,Boy,164.0
11.0,Boy,156.0
11.0,Boy,154.0
11.0,Boy,156.0
11.0,Boy,155.0
11.0,Girl,111.0
11.0,Girl,102.0
11.0,Girl,160.0
11.0,Girl,158.0
11.0,Girl,111.0
11.0,Girl,160.0
11.0,Girl,162.0
12.0,Boy,106.0
12.0,Boy,164.0
12.0,Boy,113.0
12.0,Boy,110.0
12.0,Boy,163.0
12.0,Boy,164.0
12.0,Boy,170.0
12.0,Boy,197.0
12.0,Girl,119.0
12.0,Girl,114.0
12.0,Girl,117.0
12.0,Girl,113.0
12.0,Girl,116.0
13.0,Boy,167.0
13.0,Boy,121.0
13.0,Boy,174.0
13.0,Boy,116.0
13.0,Boy,104.0
13.0,Boy,167.0
13.0,Boy,120.0
13.0,Girl,111.0
13.0,Girl,123.0
13.0,Girl,111.0
13.0,Girl,113.0
13.0,Girl,190.0
13.0,Girl,191.0
13.0,Girl,119.0
14.0,Boy,178.0
14.0,Boy,117.0
14.0,Girl,115.0
14.0,Girl,128.0
14.0,Girl,133.0
14.0,Girl,175.0
14.0,Girl,178.0
15.0,Boy,113.0
15.0,Boy,185.0
15.0,Boy,184.0
15.0,Boy,132.0
15.0,Boy,187.0
15.0,Girl,100.0
15.0,Girl,185.0
15.0,Girl,135.0
15.0,Girl,113.0
15.0,Girl,129.0
16.0,Boy,132.0
16.0,Girl,179.0
17.0,Boy,144.0
17.0,Boy,134.0
17.0,Boy,143.0
17.0,Boy,142.0
17.0,Boy,141.0
17.0,Boy,152.0
17.0,Boy,190.0
17.0,Boy,151.0
17.0,Girl,175.0
17.0,Girl,174.0
17.0,Girl,143.0
17.0,Girl,143.0
17.0,Girl,139.0
17.0,Girl,175.0
17.0,Girl,175.0
17.0,Girl,145.0
17.0,Girl,144.0
17.0,Girl,144.0
18.0,Boy,154.0
18.0,Boy,152.0
18.0,Boy,153.0
18.0,Boy,151.0
18.0,Boy,192.0
18.0,Boy,152.0
18.0,Boy,154.0
18.0,Boy,193.0
18.0,Boy,155.0
18.0,Boy,130.0
18.0,Boy,154.0
18.0,Boy,194.0
18.0,Girl,174.0
18.0,Girl,175.0
18.0,Girl,143.0
18.0,Girl,174.0
18.0,Girl,138.0
18.0,Girl,174.0
18.0,Girl,175.0
18.0,Girl,174.0
18.0,Girl,141.0
18.0,Girl,142.0
18.0,Girl,126.0
18.0,Girl,141.0
18.0,Girl,177.0
18.0,Girl,174.0
18.0,Girl,174.0
18.0,Girl,143.0
18.0,Girl,178.0
18.0,Girl,180.0
18.0,Girl,175.0
18.0,Girl,174.0
18.0,Girl,174.0
7.0,Boy,148.0
7.0,Boy,145.0
7.0,Boy,145.0
7.0,Boy,144.5
7.0,Boy,156.0
7.0,Boy,150.0
7.0,Boy,149.0
7.0,Boy,178.0
7.0,Boy,102.0
7.0,Boy,150.0
7.0,Boy,158.0
7.0,Boy,161.0
7.0,Boy,102.0
7.0,Boy,155.6000061
7.0,Boy,102.0
7.0,Boy,150.0
7.0,Boy,176.5
7.0,Girl,152.5
7.0,Girl,154.0
7.0,Girl,161.0
7.0,Girl,151.0
7.0,Girl,140.0
7.0,Girl,167.0
7.0,Girl,154.0
7.0,Girl,151.0
7.0,Girl,149.5
7.0,Girl,150.0
7.0,Girl,155.0
7.0,Girl,148.0
7.0,Girl,147.0
7.0,Girl,153.0
7.0,Girl,154.0
7.0,Girl,145.0
7.0,Girl,160.0
8.0,Boy,162.0
8.0,Boy,147.0
8.0,Boy,156.0
8.0,Boy,172.0
8.0,Boy,148.0
8.0,Boy,147.3000031
8.0,Boy,163.0
8.0,Boy,152.8000031
8.0,Boy,149.0
8.0,Boy,152.0
8.0,Boy,168.0
8.0,Boy,156.5
8.0,Boy,150.0
8.0,Boy,105.0
8.0,Boy,155.0
8.0,Boy,153.3000031
8.0,Boy,161.5
8.0,Boy,167.0
8.0,Boy,159.0
8.0,Boy,169.5
8.0,Boy,155.3000031
8.0,Boy,153.1999969
8.0,Boy,153.0
8.0,Boy,149.0
8.0,Boy,151.1999969
8.0,Boy,155.1999969
8.0,Girl,144.8000031
8.0,Girl,105.0
8.0,Girl,105.0
8.0,Girl,159.0
8.0,Girl,107.0
8.0,Girl,153.0
8.0,Girl,147.0
8.0,Girl,106.0
8.0,Girl,151.3999939
8.0,Girl,158.0
8.0,Girl,172.0
8.0,Girl,106.4000015
8.0,Girl,171.3999939
8.0,Girl,162.0
9.0,Boy,152.5
9.0,Boy,170.5
9.0,Boy,164.5
9.0,Boy,167.5
9.0,Boy,165.5
9.0,Boy,178.0
9.0,Boy,107.0
9.0,Boy,152.0
9.0,Boy,159.0
9.0,Boy,174.0
9.0,Boy,166.0
9.0,Boy,173.0
9.0,Boy,153.0
9.0,Boy,154.5
9.0,Girl,109.0
9.0,Girl,160.0
9.0,Girl,158.0
9.0,Girl,150.0
9.0,Girl,150.0
9.0,Girl,188.0
9.0,Girl,152.1000061
9.0,Girl,156.0
9.0,Girl,156.0
9.0,Girl,105.0
9.0,Girl,149.6000061
9.0,Girl,153.0
9.0,Girl,160.0
9.0,Girl,150.0
9.0,Girl,101.0
9.0,Girl,170.0
9.0,Girl,102.0
9.0,Girl,164.0
9.0,Girl,157.0
9.0,Girl,110.0
9.0,Girl,159.0
9.0,Girl,110.0
9.0,Girl,110.0
9.0,Girl,159.0
9.0,Girl,150.0
9.0,Girl,173.0
10.0,Boy,163.0
10.0,Boy,165.0
10.0,Boy,165.0
10.0,Boy,163.0
10.0,Boy,159.1999969
10.0,Boy,111.0
10.0,Boy,102.0
10.0,Boy,113.5
10.0,Boy,112.0
10.0,Boy,111.0
10.0,Boy,161.0
10.0,Boy,110.0
10.0,Boy,108.0
10.0,Boy,110.0
10.0,Boy,110.0
10.0,Boy,110.0
10.0,Boy,160.0
10.0,Boy,164.0
10.0,Boy,170.0
10.0,Boy,159.0
10.0,Boy,114.0
10.0,Boy,103.0
10.0,Boy,160.0
10.0,Girl,110.0
10.0,Girl,155.5
10.0,Girl,156.0
10.0,Girl,110.8000031
10.0,Girl,108.0
10.0,Girl,159.0
10.0,Girl,110.0
10.0,Girl,185.0
10.0,Girl,159.0
10.0,Girl,102.0
10.0,Girl,164.0
10.0,Girl,110.0
10.0,Girl,160.0
11.0,Boy,107.0
11.0,Boy,108.0
11.0,Boy,100.0
11.0,Boy,100.0
11.0,Boy,165.5
